combination_key,combination_size,actions,categories,overfit_penalty,rank_score,temporal_folds_evaluated,temporal_pass_folds,temporal_stability,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,avg_winner,avg_loser,trade_coverage,net_pnl_delta,profit_factor_delta,expectancy_delta,max_drawdown_delta,baseline_trades,baseline_net_pnl,baseline_expectancy,baseline_profit_factor,baseline_win_rate,baseline_max_drawdown,baseline_avg_winner,baseline_avg_loser,expectancy_lift,expectancy_lift_ci_low,expectancy_lift_ci_high,p_value_approx,statistically_acceptable
ce:min_confidence_0.4358+pe:min_directional_confidence_0.4645+avoid:ce:low_volatility,3,ce require quality confidence >= 0.4358 | pe require directional confidence >= 0.4645 | Reduce or disable ce trades in Low Volatility,avoid_weak_segment|minimum_confidence,0.0,5.912425579177442,4,4,True,18177,584938.1250000072,1.209961944410198,0.5159817351598174,32.18012460802152,-106713.00000000012,359.405333724278,-316.65429643100657,0.27255143045642655,3353057.25,0.4777812803711531,73.68613919747742,2661548.249999997,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,73.68613919747742,66.7531967607373,80.61908163421754,2.2348678615436578e-96,True
all:min_directional_confidence_0.4645+avoid:ce:mixed,2,all require directional confidence >= 0.4645 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,5.892325222715781,4,4,True,13565,485689.5000000079,1.2272207660972032,0.5099152230003686,35.804607445632726,-63691.12499999645,379.2412895764068,-321.5286552346567,0.20339770887062916,3253808.625000001,0.4950401020581582,77.31062203508863,2704570.125000001,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,77.31062203508863,69.21107440788157,85.41016966229569,4.2362395959106804e-78,True
all:min_directional_confidence_0.4645+pe:min_directional_confidence_0.4645+avoid:ce:mixed,3,all require directional confidence >= 0.4645 | pe require directional confidence >= 0.4645 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,5.892325222715781,4,4,True,13565,485689.5000000079,1.2272207660972032,0.5099152230003686,35.804607445632726,-63691.12499999645,379.2412895764068,-321.5286552346567,0.20339770887062916,3253808.625000001,0.4950401020581582,77.31062203508863,2704570.125000001,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,77.31062203508863,69.21107440788157,85.41016966229569,4.2362395959106804e-78,True
all:min_directional_confidence_0.4645+pe:min_directional_confidence_0.4607+avoid:ce:mixed,3,all require directional confidence >= 0.4645 | pe require directional confidence >= 0.4607 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,5.892325222715781,4,4,True,13565,485689.5000000079,1.2272207660972032,0.5099152230003686,35.804607445632726,-63691.12499999645,379.2412895764068,-321.5286552346567,0.20339770887062916,3253808.625000001,0.4950401020581582,77.31062203508863,2704570.125000001,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,77.31062203508863,69.21107440788157,85.41016966229569,4.2362395959106804e-78,True
all:min_directional_confidence_0.4645+pe:min_directional_confidence_0.4468+avoid:ce:mixed,3,all require directional confidence >= 0.4645 | pe require directional confidence >= 0.4468 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,5.892325222715781,4,4,True,13565,485689.5000000079,1.2272207660972032,0.5099152230003686,35.804607445632726,-63691.12499999645,379.2412895764068,-321.5286552346567,0.20339770887062916,3253808.625000001,0.4950401020581582,77.31062203508863,2704570.125000001,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,77.31062203508863,69.21107440788157,85.41016966229569,4.2362395959106804e-78,True
all:min_directional_confidence_0.4645+avoid:ce:mixed+avoid:ce:low_volatility,3,all require directional confidence >= 0.4645 | Reduce or disable ce trades in mixed | Reduce or disable ce trades in Low Volatility,avoid_weak_segment|minimum_confidence,0.0,5.889954149163305,4,4,True,13548,484823.6250000078,1.2269826525092709,0.5097431355181576,35.78562333923884,-63799.12499999546,379.4922893136411,-321.5823735320683,0.20314280573382115,3252942.750000001,0.49480198847022583,77.29163792869474,2704462.125000002,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,77.29163792869474,69.18451970601099,85.39875615137849,6.406470036369298e-78,True
all:min_confidence_0.4358+avoid:all:range,2,all require quality confidence >= 0.4358 | Reduce or disable all trades in range,avoid_weak_segment|minimum_confidence,0.0,5.883470819416316,4,4,True,14638,502461.00000000757,1.2269710663962266,0.5181718814045635,34.32579587375376,-89618.99999999965,358.1051746868824,-313.87590387069264,0.21948659509386434,3270580.1250000005,0.4947904023571815,75.83181046320966,2678642.2499999977,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,75.83181046320966,68.29427581104164,83.36934511537768,1.4902343465793829e-86,True
all:min_confidence_0.4358+ce:min_confidence_0.4358+avoid:all:range,3,all require quality confidence >= 0.4358 | ce require quality confidence >= 0.4358 | Reduce or disable all trades in range,avoid_weak_segment|minimum_confidence,0.0,5.883470819416316,4,4,True,14638,502461.00000000757,1.2269710663962266,0.5181718814045635,34.32579587375376,-89618.99999999965,358.1051746868824,-313.87590387069264,0.21948659509386434,3270580.1250000005,0.4947904023571815,75.83181046320966,2678642.2499999977,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,75.83181046320966,68.29427581104164,83.36934511537768,1.4902343465793829e-86,True
all:min_confidence_0.4358+pe:min_confidence_0.4519+avoid:all:range,3,all require quality confidence >= 0.4358 | pe require quality confidence >= 0.4519 | Reduce or disable all trades in range,avoid_weak_segment|minimum_confidence,0.0,5.882941368661246,4,4,True,14637,502306.87500000757,1.226901445240339,0.518138962902234,34.317611190818305,-89618.99999999965,358.1320708069624,-313.87590387069264,0.21947160079169917,3270426.0000000005,0.49472078120129404,75.8236257802742,2678642.2499999977,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,75.8236257802742,68.2856570824965,83.3615944780519,1.5895426822637242e-86,True
ce:min_confidence_0.4358+pe:min_confidence_0.4519+avoid:all:range,3,ce require quality confidence >= 0.4358 | pe require quality confidence >= 0.4519 | Reduce or disable all trades in range,avoid_weak_segment|minimum_confidence,0.0,5.882941368661246,4,4,True,14637,502306.87500000757,1.226901445240339,0.518138962902234,34.317611190818305,-89618.99999999965,358.1320708069624,-313.87590387069264,0.21947160079169917,3270426.0000000005,0.49472078120129404,75.8236257802742,2678642.2499999977,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,75.8236257802742,68.2856570824965,83.3615944780519,1.5895426822637242e-86,True
all:min_confidence_0.4358+avoid:ce:mixed+avoid:pe:low_volatility,3,all require quality confidence >= 0.4358 | Reduce or disable ce trades in mixed | Reduce or disable pe trades in Low Volatility,avoid_weak_segment|minimum_confidence,0.0,5.880321064410403,4,4,True,14827,508716.75000000605,1.2262722977568918,0.5175692992513657,34.310160517974374,-98906.99999999738,359.2607505863959,-314.30871662239565,0.22232051820308282,3276835.874999999,0.4940916337178468,75.81617510743027,2669354.25,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,75.81617510743027,68.27123030420695,83.36111991065358,2.367450211516261e-86,True
ce:min_confidence_0.4358+pe:min_directional_confidence_0.4645+avoid:pe:low_volatility,3,ce require quality confidence >= 0.4358 | pe require directional confidence >= 0.4645 | Reduce or disable pe trades in Low Volatility,avoid_weak_segment|minimum_confidence,0.0,5.856340551207972,4,4,True,18130,566254.500000008,1.2031555592807952,0.5154440154440154,31.233011583012026,-106713.00000000012,358.86031300160556,-317.27889869095003,0.27184669825466323,3334373.625000001,0.4709748952417502,72.73902617246793,2661548.249999997,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,72.73902617246793,65.79674016799297,79.6813121769429,1.0216095237729143e-93,True
all:min_confidence_0.4358+avoid:all:low_volatility+avoid:ce:mixed,3,all require quality confidence >= 0.4358 | Reduce or disable all trades in Low Volatility | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,5.849362509792125,4,4,True,14667,497975.6250000057,1.2229188965243123,0.5168064362173587,33.95211188382121,-99731.2499999972,360.40404023746726,-315.20911528150083,0.21992142985665447,3266094.7499999986,0.49073823248526727,75.4581264732771,2668530.0,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,75.4581264732771,67.85818892242068,83.05806402413353,2.37857724937256e-84,True
all:min_confidence_0.4358+avoid:all:range+avoid:ce:low_volatility,3,all require quality confidence >= 0.4358 | Reduce or disable all trades in range | Reduce or disable ce trades in Low Volatility,avoid_weak_segment|minimum_confidence,0.0,5.84492281640304,4,4,True,14451,490013.2500000072,1.2225142453514264,0.516919244342952,33.90860494083504,-90916.1249999993,360.3987951807232,-315.45133218736504,0.2166826605889762,3258132.375,0.49033358131238136,75.41461953029093,2677345.124999998,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,75.41461953029093,67.80220759299372,83.02703146758815,5.508860954257612e-84,True
all:min_confidence_0.4358+avoid:all:range+avoid:pe:low_volatility,3,all require quality confidence >= 0.4358 | Reduce or disable all trades in range | Reduce or disable pe trades in Low Volatility,avoid_weak_segment|minimum_confidence,0.0,5.834152742657313,4,4,True,14383,485096.62500000716,1.221039686605377,0.5171382882569701,33.72708231940535,-88036.49999999901,360.27290602312485,-315.99902807775317,0.21566304804174413,3253215.75,0.48885902256633196,75.23309690886126,2680224.749999998,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,75.23309690886126,67.60226008240552,82.86393373531699,3.386791522609803e-83,True
