model,target,status,rows,train_rows,calibration_rows,test_rows,auc,pr_auc,average_precision,calibration,ece,brier,threshold,precision,recall,trade_count,selected_positives,expectancy,profit_factor,max_drawdown,net_pnl
catboost,quality_profitable_ce,ok,150000,105000,22500,22500,0.5783339002277958,0.47110716695940735,0.47110716695940735,isotonic_time_split,0.022624840570168794,0.2392183953865194,0.5173745173745173,0.536,0.021578099838969404,375,201,555.3980000000006,2.259108962965648,-38952.374999999796,208274.2500000002
catboost,quality_profitable_pe,ok,150000,105000,22500,22500,0.5341999728290148,0.4443636937949325,0.4443636937949325,isotonic_time_split,0.012367961097304373,0.24316122006953617,0.481198410272088,0.4806899137607799,0.13521780402911085,2667,1282,80.75731158605255,1.35480899732942,-53910.37499999898,215379.75000000215
catboost,target_hit_ce,ok,150000,105000,22500,22500,0.6283207001889981,0.5361655601636466,0.5361655601636466,isotonic_time_split,0.0177798497861563,0.2340370413882784,0.680327868852459,0.6956521739130435,0.02304052664060893,322,224,1034.0881211180154,3.1603202756063635,-39428.25000000023,332976.37500000093
catboost,target_hit_pe,ok,150000,105000,22500,22500,0.5858233069801629,0.5085598183394673,0.5085598183394673,isotonic_time_split,0.022491661939043367,0.24157192956561999,0.5850253807106599,0.5757432751297782,0.12355681588008913,2119,1220,116.54394761680074,1.5280709941880624,-46262.999999999505,246956.62500000076
catboost,stop_hit_ce,ok,150000,105000,22500,22500,0.6502448340462517,0.3104377672490685,0.3104377672490685,isotonic_time_split,0.030488857712859974,0.15360621518690032,0.4745508982035929,0.5164835164835165,0.06277827248441674,546,282,236.1497252747242,1.4968498384458402,-50545.87500000025,128937.74999999942
catboost,stop_hit_pe,ok,150000,105000,22500,22500,0.7042350166264585,0.3449760293191645,0.3449760293191645,isotonic_time_split,0.022042727830081828,0.14332494588308112,0.43859649122807015,0.5555555555555556,0.035788501500808124,279,155,272.36155913978286,1.3225512231150252,-57725.2499999999,75988.87499999942
xgboost,directional_ce,ok,150000,105000,22500,22500,0.5956269929018329,0.4733157300826995,0.4733157300826995,isotonic_time_split,0.026440999595655334,0.2357766481913732,0.45259860157966614,0.4900056043340183,0.5676874797099881,10706,5246,52.06100551092845,1.2691379387459207,-125974.8749999986,557365.125
xgboost,directional_pe,ok,150000,105000,22500,22500,0.5645384294925038,0.4610556315799466,0.4610556315799466,isotonic_time_split,0.00908170809215972,0.24081330047192492,0.5244755148887634,0.5256410256410257,0.013094857872884063,234,123,117.56730769231083,1.7359972711859482,-9578.250000000051,27510.750000000735
xgboost,quality_profitable_ce,ok,150000,105000,22500,22500,0.5712081121478053,0.460579041290206,0.460579041290206,isotonic_time_split,0.02902415955000454,0.23994562477004744,0.5,0.48109965635738833,0.015029522275899088,291,140,173.82345360824846,1.459830027169748,-38056.50000000028,50582.6250000003
xgboost,quality_profitable_pe,ok,150000,105000,22500,22500,0.5360452309326752,0.4485549352295958,0.4485549352295958,isotonic_time_split,0.011367952251434343,0.2435166406533928,0.46346810460090637,0.47501357957631724,0.18447421158105684,3682,1749,54.234451385117765,1.2386889343198704,-89664.75000000019,199691.2500000036
