model,target,status,rows,train_rows,calibration_rows,test_rows,auc,pr_auc,average_precision,calibration,ece,brier,threshold,precision,recall,trade_count,selected_positives,expectancy,profit_factor,max_drawdown,net_pnl,selection_score,side,model_artifact_path,artifact_available,meets_expectancy_floor,meets_profit_factor_floor,meets_calibration_floor,meets_trade_count_floor,metric_viable,production_viable,rank_for_target,production_rank_for_target,global_rank
catboost,directional_pe,ok,150000,105000,22500,22500,0.5660393832707203,0.4624968763688056,0.4624968763688056,isotonic_time_split,0.0088598314621633,0.2404639023513015,0.4937404580152676,0.495035046728972,0.1804535292238901,3424,1695,52.20549795560847,1.263118064234085,-50619.74999999878,178751.62500000338,0.3629874532323793,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_pe_catboost.joblib,False,True,True,True,True,True,False,2,3,25
lgbm,directional_pe,ok,150000,105000,22500,22500,0.5622520332792883,0.4588068272818644,0.4588068272818644,isotonic_time_split,0.0097740261169506,0.2406485050878954,0.4910714285714285,0.504424778761062,0.0060683487703609,113,57,87.96238938053354,1.5204193827063683,-7003.124999999951,9939.75000000029,0.3540791158800553,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_pe_lgbm.joblib,True,True,True,True,True,True,True,3,2,26
random_forest,target_hit_pe,ok,150000,105000,22500,22500,0.5894342090668737,0.5053420490607358,0.5053420490607358,isotonic_time_split,0.0259884267167943,0.2419663319566007,0.5375531412376001,0.5201504567436862,0.3921409763013976,7444,3872,22.827999059645915,1.102098863204951,-106857.00000000026,169931.6250000042,0.3491544912283316,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_target_hit_pe_random_forest.joblib,False,True,True,True,True,True,False,4,4,27
random_forest,stop_hit_ce,ok,150000,105000,22500,22500,0.6511777824182622,0.3002384651168053,0.3002384651168053,isotonic_time_split,0.0399711352688886,0.1550724162216186,0.4353813559322034,0.3829268292682927,0.2446571682991985,2870,1099,157.27774390243889,1.5514729935153642,-76114.12499999971,451387.1249999996,0.3398509098025786,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_ce_random_forest.joblib,False,True,True,True,True,True,False,4,4,28
catboost,quality_profitable_pe,ok,150000,105000,22500,22500,0.5341999728290148,0.4443636937949325,0.4443636937949325,isotonic_time_split,0.0123679610973043,0.2431612200695361,0.481198410272088,0.4806899137607799,0.1352178040291108,2667,1282,80.75731158605255,1.35480899732942,-53910.37499999898,215379.75000000212,0.3259216132869465,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\production_candidates\v2_quality_profitable_pe_catboost_20260703T172606Z_ceb73b650f15.joblib,True,True,True,True,True,True,True,1,1,29
xgboost,quality_profitable_pe,ok,150000,105000,22500,22500,0.5360452309326752,0.4485549352295958,0.4485549352295958,isotonic_time_split,0.0113679522514343,0.2435166406533928,0.4634681046009063,0.4750135795763172,0.1844742115810568,3682,1749,54.234451385117765,1.2386889343198704,-89664.75000000019,199691.2500000036,0.3199986068097087,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_pe_xgboost.joblib,False,True,True,True,True,True,False,2,3,30
xgboost,quality_profitable_ce,ok,150000,105000,22500,22500,0.5712081121478053,0.460579041290206,0.460579041290206,isotonic_time_split,0.0290241595500045,0.2399456247700474,0.5,0.4810996563573883,0.015029522275899,291,140,173.82345360824846,1.459830027169748,-38056.50000000028,50582.6250000003,0.31582739895020967,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_ce_xgboost.joblib,False,True,True,True,True,True,False,4,4,31
mlp,stop_hit_ce,ok,150000,105000,22500,22500,0.6462436502941404,0.2913628299557222,0.2913628299557222,isotonic_time_split,0.040291498774134,0.1555366029159556,0.4780701754385965,0.3832271762208068,0.0803650934995547,942,361,161.46974522293084,1.789037834178573,-24705.749999999767,152104.50000000084,0.3093783645476205,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_ce_mlp.joblib,False,True,True,True,True,True,False,5,5,32
random_forest,directional_pe,ok,150000,105000,22500,22500,0.5665338028719403,0.4598668884141834,0.4598668884141834,isotonic_time_split,0.0171927130137758,0.2403032941297509,0.4843807423741271,0.4662399711529794,0.5506228042159055,11093,5172,2.872216713243134,1.0150196159748468,-223822.8749999944,31861.50000000609,0.30836501652143783,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_pe_random_forest.joblib,False,True,False,True,True,False,False,4,4,33
lgbm,quality_profitable_pe,ok,150000,105000,22500,22500,0.5310273685902129,0.4425026343135874,0.4425026343135874,isotonic_time_split,0.0119604579786913,0.2434785054320852,0.4881740775780512,0.4788970174451322,0.089758464297015,1777,851,67.3702166572891,1.2538943671549054,-73458.3749999999,119716.87500000274,0.30282777516304893,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_pe_lgbm.joblib,True,True,True,True,True,True,True,3,2,34
mlp,stop_hit_pe,ok,150000,105000,22500,22500,0.6878190044091914,0.3135670297566606,0.3135670297566606,isotonic_time_split,0.0415976151819321,0.1465778784562963,0.4767441860465116,0.4440619621342513,0.0595705379819903,581,258,38.70567986230586,1.1522331832190116,-25808.62500000036,22487.9999999997,0.29403451328794333,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_pe_mlp.joblib,False,True,True,True,True,True,False,5,5,35
random_forest,quality_profitable_pe,ok,150000,105000,22500,22500,0.5364490082359485,0.4454642064244375,0.4454642064244375,isotonic_time_split,0.0161511786485318,0.2432735736812578,0.4682841274481146,0.4527804157433787,0.4525893893049256,9477,4291,16.917735042735796,1.0844811516206958,-126954.3749999972,160329.37500000713,0.2921123111398595,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_pe_random_forest.joblib,False,True,True,True,True,True,False,4,4,36
mlp,target_hit_pe,ok,150000,105000,22500,22500,0.5804342701565787,0.5005303831946074,0.5005303831946074,isotonic_time_split,0.0320649056695729,0.2433487384373073,0.5613057324840763,0.51953125,0.3098035244075349,5888,3059,-18.9735478940215,0.915060913735978,-234922.49999999668,-111716.2499999986,0.2686208615331005,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_target_hit_pe_mlp.joblib,False,False,False,True,True,False,False,5,5,37
mlp,directional_pe,ok,150000,105000,22500,22500,0.5630335240938501,0.4574305675125633,0.4574305675125633,isotonic_time_split,0.0314195985500192,0.241337285855394,0.5371448134200616,0.4742997008430786,0.1856701799212179,3677,1744,3.1277875985856225,1.013577196649107,-139244.6250000006,11500.874999999334,0.2433763837027411,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_pe_mlp.joblib,False,True,False,True,True,False,False,5,5,38
mlp,quality_profitable_pe,ok,150000,105000,22500,22500,0.5,0.4213777777777778,0.4213777777777778,isotonic_time_split,0.0091999999999999,0.2439031861728396,0.4121777777777777,0.4213777777777778,1.0,22500,9481,-11.798649999999778,0.9329239393616104,-539936.2499999925,-265469.624999995,0.23555497869580733,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_pe_mlp.joblib,False,False,False,True,True,False,False,5,5,39
mlp,quality_profitable_ce,ok,150000,105000,22500,22500,0.5,0.414,0.414,isotonic_time_split,0.0344888888888886,0.2437934834567902,0.3795111111111111,0.414,1.0,22500,9315,-15.214150000000188,0.9144039905403096,-724878.3750000043,-342318.37500000425,0.14319464628994413,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_ce_mlp.joblib,False,False,False,True,True,False,False,5,5,40
