date,trades,pnl,wins,losses,day_type,killed
2026-02-25,1,-617.5,0,1,RANGE_DAY,False
2026-02-26,1,30.55,1,0,RANGE_DAY,False
2026-02-27,2,1636.7,2,0,VOLATILE_DAY,False
2026-03-02,1,-542.75,0,1,RANGE_DAY,False
2026-03-04,1,1718.6,1,0,RANGE_DAY,False
2026-03-05,2,-447.85,1,1,RANGE_DAY,False
2026-03-06,3,-397.15,1,2,RANGE_DAY,False
2026-03-09,1,-483.6,0,1,RANGE_DAY,False
2026-03-10,0,0.0,0,0,RANGE_DAY,False
2026-03-11,2,1898.0,2,0,RANGE_DAY,False
2026-03-12,1,-399.1,0,1,RANGE_DAY,False
2026-03-13,1,-425.1,0,1,RANGE_DAY,False
2026-03-16,0,0.0,0,0,RANGE_DAY,False
2026-03-17,2,-517.4,0,2,RANGE_DAY,False
2026-06-03,1,-575.9,0,1,VOLATILE_DAY,False
2026-06-04,2,-798.2,0,2,RANGE_DAY,False
2026-06-05,5,2471.3,3,2,RANGE_DAY,False
2026-06-08,0,0.0,0,0,RANGE_DAY,False
