trade_id,date,exit_time,side,entry_price,exit_price,qty,pnl,ml_prob,entry_reason,exit_reason,regime,orb_high,orb_low,held_seconds,max_pnl,stop_loss,target
98,2024-06-28,2024-06-28 09:48:00,CE,23992.95,23999.9,75,-58.5,0.6265,ML_CE,STOP,RANGE,24108.1,24063.1,300.0,637.5,23997.95,24099.89615384615
99,2024-07-01,2024-07-01 09:40:00,CE,24150.0,24162.85,75,847.5,0.5964,ORB+ML_CE,STOP,RANGE,24149.6,24133.7,600.0,1001.2499999998909,24159.0,24194.500000000004
100,2024-07-02,2024-07-02 09:31:00,CE,24137.75,24136.75,75,-12.0,0.6001,ML_CE,STOP,RANGE,24147.6,24129.35,60.0,0.0,24124.584615384618,24186.753846153846
101,2024-07-03,2024-07-03 09:45:00,CE,24284.4,24295.3,75,-70.5,0.5602,ORB+ML_CE,Drawdown,RANGE,24258.35,24238.75,360.0,877.4999999997817,24289.4,24342.692307692305
102,2024-07-05,2024-07-05 09:55:00,PE,24348.5,24338.7,75,699.0,0.5509,ML_PE,STOP,TREND,24234.05,24204.2,180.0,0.0,24331.225,24398.725000000002
103,2024-07-05,2024-07-05 09:59:00,PE,24328.25,24316.25,75,885.75,0.5621,ML_PE,DAY_END,TREND,24234.05,24204.2,60.0,0.0,24312.563461538462,24374.10961538462
104,2024-07-08,2024-07-08 09:58:00,CE,24332.9,24342.55,75,-60.0,0.5953,ORB+ML_CE,STOP,RANGE,24306.55,24289.95,300.0,675.0,24337.9,24381.14230769231
105,2024-07-09,2024-07-09 09:37:00,CE,24435.1,24437.1,75,-69.75,0.5829,ORB+ML_CE,STOP,RANGE,24427.5,24412.85,360.0,168.75,24435.1,24480.942307692312
106,2024-07-11,2024-07-11 09:45:00,CE,24296.2,24328.5,75,2022.75,0.564,ML_CE,Drawdown,RANGE,24332.0,24295.15,600.0,2433.7500000000546,24305.2,24368.211538461535
107,2024-07-11,2024-07-11 09:58:00,CE,24326.8,24354.7,75,232.5,0.592,ML_CE,Drawdown,RANGE,24332.0,24295.15,600.0,2141.2499999999454,24335.8,24375.023076923073
108,2024-07-18,2024-07-18 09:33:00,CE,24795.0,24797.8,75,-35.25,0.6652,ML_CE,STOP,RANGE,24837.75,24785.9,180.0,315.00000000005457,24797.666666666668,24883.088461538457
109,2024-07-19,2024-07-19 09:44:00,CE,24530.9,24531.4,75,-70.5,0.606,ML_CE,TIME_EXIT_WEAK,RANGE,24586.7,24524.75,360.0,0.0,24500.2,24625.300000000003
110,2024-07-23,2024-07-23 09:35:00,CE,24474.85,24508.05,75,2440.5,0.6065,ML_CE,Drawdown,RANGE,24544.3,24484.45,300.0,2538.7500000001637,24483.85,24581.680769230767
111,2024-07-23,2024-07-23 09:49:00,CE,24472.55,24471.9,75,-131.25,0.6321,ML_CE,STOP,RANGE,24544.3,24484.45,420.0,258.75000000005457,24472.55,24579.649999999998
112,2024-07-24,2024-07-24 09:36:00,CE,24395.7,24415.15,75,1102.5,0.5719,ML_CE,Drawdown,RANGE,24452.0,24415.15,180.0,1443.75,24404.7,24491.203846153847
113,2024-07-29,2024-07-29 09:33:00,CE,24844.35,24856.5,75,453.0,0.5822,ML_CE,STOP,RANGE,24865.85,24834.35,180.0,975.0,24853.35,24913.688461538462
114,2024-07-29,2024-07-29 09:44:00,CE,24816.95,24828.2,75,763.5,0.6261,ML_CE,STOP,RANGE,24865.85,24834.35,420.0,975.0,24825.95,24915.180769230767
115,2024-08-05,2024-08-05 09:38:00,CE,24069.25,24041.05,75,-1514.25,0.6148,ML_CE,STOP,RANGE,24115.0,24078.15,360.0,116.24999999994543,24040.138461538463,24166.41538461539
