model,target,side,selection_score,trades,synthetic_expectancy,synthetic_profit_factor,synthetic_max_drawdown,risk_of_ruin_pct,risk_gate_passed,drawdown_gate_passed,runs,risk_of_ruin,p01_final_equity,p05_final_equity,median_final_equity,p95_final_equity,expected_final_equity,p05_max_drawdown,median_max_drawdown
lgbm,target_hit_pe,pe,0.4198142826991961,2387,100.76173020527906,2.286509614217969,-186954.10227946923,0.0,True,True,2000,0.0,1213270.3097887228,1221172.212449993,1240518.2500000014,1260334.933790023,1240430.8088827783,-2599.1632888901513,-1855.530087178573
random_forest,directional_ce,ce,0.4153911274637674,12370,37.58764147130161,1.1028369679094925,-4521322.773821708,0.0,True,False,2000,0.0,1255182.5505185125,1323051.4422625445,1463416.6501877457,1603781.8581128446,1464380.6969454389,-53302.4891746506,-34994.39643296064
catboost,target_hit_pe,pe,0.40991089677483183,2119,116.5439476168008,2.397090905934818,-176764.89335872687,0.0,True,True,2000,0.0,1218122.5443475829,1227918.8430185898,1246956.6250000028,1267082.2802374968,1246885.913238358,-2647.9809973292286,-1861.485365032684
random_forest,stop_hit_pe,pe,0.40571816059589144,3559,106.51664786621505,1.000001409727185,-268912136916.16937,99.35000000000001,False,False,2000,0.9935,-21261945062.64312,-15008026193.409685,1379092.7503591478,15010784378.91156,164137331.32204017,-20291519295.33908,-10311708114.137598
random_forest,quality_profitable_ce,ce,0.40471906297185917,10450,57.50099282296673,1.178049923940986,-3374813.9942990467,0.0,True,False,2000,0.0,1425486.2211791782,1482085.7546085736,1602299.6561951502,1722513.557781688,1601908.607444672,-33154.97377510865,-22278.795378394076
xgboost,directional_ce,ce,0.3956184164925493,10706,52.06100551092845,1.2139671372442469,-2604909.951025553,0.0,True,False,2000,0.0,1423448.3234303214,1465520.7255685201,1557365.125000056,1650235.4171942058,1557016.321460772,-22364.663198913993,-15356.34997221583
xgboost,directional_pe,pe,0.38399854258605154,234,117.56730769231085,2.0139390871602916,-27132.54706162787,0.0,True,True,2000,0.0,1015114.2974457211,1018557.7564885766,1027510.7500000008,1035809.4862932824,1027381.2759399894,-2977.8686051624827,-1844.9223489357391
mlp,directional_ce,ce,0.38230017685373097,650,96.13384615384754,1.5399272285662213,-115732.26296798306,0.0,True,True,2000,0.0,1037243.7202714626,1044462.5232213233,1062487.000000001,1080511.4767786786,1062363.532334067,-6904.6818244258175,-4293.3113885044
lgbm,stop_hit_ce,ce,0.38107418302709956,148,231.15962837837833,2.143072070818555,-29929.543266244953,0.0,True,True,2000,0.0,1015754.2168349491,1021914.8840505991,1034211.6250000001,1046508.3659494009,1034302.006045978,-4668.111891412322,-2850.4326920233434
catboost,stop_hit_ce,ce,0.37733336539251133,546,236.1497252747242,1.6299960045347914,-204664.3932213661,0.0,True,True,2000,0.0,1078023.7638328688,1091731.37549325,1128937.7499999993,1166144.1245067487,1129662.2951877625,-13058.423815769725,-8119.94064112776
lgbm,quality_profitable_ce,ce,0.37433791342292344,945,231.91746031746192,1.705472025188841,-310660.0859776595,0.0,True,True,2000,0.0,1158597.7229005075,1174629.4433091974,1219162.0000000051,1265475.8589584427,1219900.349789938,-11979.455703909864,-7917.279303126503
xgboost,stop_hit_ce,ce,0.3647150198455863,1117,168.56333930170015,1.1207724593724566,-1559008.1627744066,0.0,True,False,2000,0.0,970635.6423041159,1025048.0442280873,1188285.2499999986,1351522.4557719107,1187408.6057467794,-122020.07429070346,-67136.03411211201
catboost,directional_pe,pe,0.3629874532323793,3424,52.205497955608394,1.2353277882327274,-759585.7095432116,0.0,True,True,2000,0.0,1109247.7727768403,1127120.1919199398,1178751.625000006,1224425.585032372,1178243.2539666023,-16393.020343298016,-10616.241058988031
lgbm,directional_pe,pe,0.3540791158800553,113,87.96238938053352,1.555037783733405,-17908.240287970308,0.0,True,True,2000,0.0,1000231.4516284422,1002664.5888556187,1009939.7500000003,1017214.9111443819,1009982.5926156283,-4290.9863517261165,-2354.0439115234185
random_forest,target_hit_pe,pe,0.3491544912283316,7444,22.82799905964596,1.203708176932919,-834191.4770360229,0.0,True,True,2000,0.0,1120152.2033074277,1133952.4390241827,1170424.490561307,1201967.8864853242,1169090.0570540605,-10171.945243439457,-6767.038629007409
random_forest,stop_hit_ce,ce,0.3398509098025786,2870,157.27774388117243,1.0000012090991195,-373325162307.3126,99.35000000000001,False,False,2000,0.9935,-33578732091.076412,-23119330679.833916,551946198.2430093,24223223076.318165,232934455.19978335,-32186825632.61907,-16026579307.59795
catboost,quality_profitable_pe,pe,0.3259216132869465,2667,80.75731158605275,1.241422319132033,-892128.5769035309,0.0,True,False,2000,0.0,1118850.9284648423,1148951.1515212713,1216887.7772072437,1278716.8927039092,1215697.1897271308,-23705.938675364894,-14959.243868804304
xgboost,quality_profitable_pe,pe,0.3199986068097087,3682,54.23445138511742,1.1137390505202254,-1755696.4744002915,0.0,True,False,2000,0.0,1061904.2957994463,1102429.8705643169,1199691.2500000088,1305057.744388674,1201027.5808278804,-53702.76861660594,-32333.10943511472
xgboost,quality_profitable_ce,ce,0.31582739895020967,291,173.8234536082485,1.3349987013207651,-150993.49579736643,0.0,True,False,2000,0.0,1001786.8977984546,1018743.4130009916,1050582.6250000002,1084739.6340410826,1051215.7495604402,-20883.64576197805,-11820.521982628969
mlp,stop_hit_ce,ce,0.3093783645476205,942,161.46974522292993,1.078715990877248,-1932320.2097169294,0.15,True,False,2000,0.0015,842708.511758244,924607.4498222385,1161204.3820071104,1370501.6681706524,1156941.0872867797,-202573.89284183388,-106267.1154832468
random_forest,directional_pe,pe,0.30836501652143783,11093,2.872216713586469,1.0000018586027783,-17142716223.03236,99.25,False,False,2000,0.9925,-706881898.3188303,-533008343.2756749,1031861.4999884989,559911145.5673875,-362231.8252820287,-718360917.9510984,-376515350.60865533
lgbm,quality_profitable_pe,pe,0.30282777516304893,1777,67.370216657289,1.1446803027829198,-827458.0070490406,0.0,True,False,2000,0.0,1029399.9384751009,1051492.5728038999,1121723.4721234161,1189947.77431952,1121118.4830907073,-40184.86989813584,-23284.65490226797
mlp,stop_hit_pe,pe,0.29403451328794333,581,38.7056798590235,1.0000016584084814,-13559988537.409168,97.65,False,False,2000,0.9765,-2740625068.962394,-1889768930.5947542,-93517082.929738,1797274335.6650164,-42891142.69686413,-2560169314.180907,-1284493432.3086917
random_forest,quality_profitable_pe,pe,0.2921123111398595,9477,16.917735042735043,1.0000017466734623,-91791269780.47726,99.45,False,False,2000,0.9945,-4260197326.2326813,-3047971834.0728207,1160329.3749981131,3050292492.824028,44493188.390221454,-4074099103.979857,-2154073172.7598443
mlp,target_hit_pe,pe,0.2686208615331005,5888,-18.9735478940215,0.4100122598712523,-189353.51093163865,0.0,True,False,2000,0.0,880435.3015402389,882744.9719761736,888376.0629670615,894284.0928591406,888370.6165020049,-117350.5022001908,-111727.69735174562
mlp,directional_pe,pe,0.2433763837027411,3677,3.1277875983264414,1.0000018887454212,-6089161022.608489,98.5,False,False,2000,0.985,-450684203.09892565,-337710465.0516266,1011500.8749946989,333091859.6265709,2163819.719857564,-452473760.2900957,-227437292.95113844
mlp,quality_profitable_pe,pe,0.23555497869580733,22500,-11.798649999999785,0.6593451821141088,-779292.1487137043,0.0,True,False,2000,0.0,715710.4834598323,720958.063665657,734416.3219635654,748450.5480954221,734457.5521362335,-279152.1043215551,-265803.289468807
mlp,quality_profitable_ce,ce,0.14319464628994413,22500,-15.214150000000197,0.5859624929429803,-826781.0745775799,100.0,False,False,2000,1.0,639212.4995300474,643910.0814430575,657681.6250000424,671447.4328037646,657831.6149475689,-356302.5076898468,-342413.3499368527
