trade_idx,check_bar,eqs,action,actual_pnl,outcome
211,3,73.0,Hold,-66.74999999999454,loss
212,3,45.0,ScaleOut,-175.8749999999618,loss
213,3,60.0,Trail,-63.375000000043656,loss
214,3,55.0,Trail,-246.74999999999451,loss
215,3,58.0,Trail,7.499999999989086,win
216,3,33.0,ScaleOut,-85.49999999996726,loss
217,3,70.0,Hold,-187.87500000003277,loss
218,3,63.0,Trail,-76.50000000001637,loss
219,3,50.0,Trail,-181.1249999999673,loss
220,3,38.0,ScaleOut,-214.8749999999673,loss
221,3,70.0,Hold,-42.75000000001637,loss
222,3,28.0,Exit,-176.99999999997272,loss
223,3,70.0,Hold,-79.12500000000546,loss
224,3,25.0,Exit,-188.62500000002183,loss
225,3,78.0,Hold,-51.37499999997272,loss
226,3,45.0,ScaleOut,-193.1250000000382,loss
227,3,58.0,Trail,-46.87499999995634,loss
228,3,45.0,ScaleOut,-145.8749999999891,loss
229,3,53.0,Trail,-94.12500000000546,loss
230,3,25.0,Exit,-98.62500000002184,loss
231,3,73.0,Hold,-141.37499999997272,loss
232,3,58.0,Trail,-82.87500000000546,loss
233,3,50.0,Trail,-157.1249999999891,loss
234,3,38.0,ScaleOut,-67.50000000006548,loss
235,3,70.0,Hold,-149.62499999993452,loss
236,3,25.0,Exit,74.62499999999454,win
237,3,73.0,Hold,-253.87499999997272,loss
238,3,45.0,ScaleOut,21.750000000027285,win
239,3,58.0,Trail,-201.00000000000543,loss
240,3,58.0,Trail,-9.750000000005455,loss
241,3,50.0,Trail,-169.49999999997272,loss
242,3,45.0,ScaleOut,-121.12500000002184,loss
243,3,48.0,ScaleOut,-134.6249999999891,loss
244,3,25.0,Exit,-51.37499999997272,loss
245,3,68.0,Trail,-204.3750000000382,loss
246,3,48.0,ScaleOut,-59.24999999999454,loss
247,3,45.0,ScaleOut,-181.8750000000109,loss
248,3,48.0,ScaleOut,-104.62500000001636,loss
249,3,50.0,Trail,-106.87499999998364,loss
250,3,43.0,ScaleOut,-69.75000000003274,loss
251,3,70.0,Hold,-141.74999999996726,loss
252,3,70.0,Hold,-111.75000000002184,loss
253,3,50.0,Trail,-91.49999999998909,loss
254,3,38.0,ScaleOut,-252.0,loss
255,3,70.0,Hold,130.5,win
256,3,58.0,Trail,-294.75000000003274,loss
257,3,50.0,Trail,173.25000000003274,win
258,3,35.0,ScaleOut,-364.5,loss
259,3,78.0,Hold,243.0,win
260,3,35.0,ScaleOut,-345.0000000000109,loss
261,3,78.0,Hold,204.00000000002183,win
262,3,45.0,ScaleOut,-341.62500000000546,loss
263,3,58.0,Trail,197.2500000000109,win
264,3,25.0,Exit,-336.375,loss
265,3,73.0,Hold,186.75,win
266,3,25.0,Exit,-366.375,loss
267,3,75.0,Hold,246.75,win
268,3,45.0,ScaleOut,-413.25,loss
269,3,53.0,Trail,340.5,win
270,3,25.0,Exit,-387.0,loss
271,3,68.0,Trail,288.0,win
272,3,25.0,Exit,-349.87499999999454,loss
273,3,75.0,Hold,224.9999999999891,win
274,3,45.0,ScaleOut,-361.12499999999454,loss
275,3,55.0,Trail,236.2499999999891,win
276,3,25.0,Exit,-349.12500000000546,loss
277,3,68.0,Trail,212.2500000000109,win
278,3,53.0,Trail,-188.62499999999451,loss
279,3,45.0,ScaleOut,9.374999999989086,win
280,3,28.0,Exit,-232.5000000000109,loss
281,3,65.0,Trail,53.25000000000546,win
282,3,25.0,Exit,-267.37499999999454,loss
283,3,63.0,Trail,88.12499999998909,win
284,3,25.0,Exit,-413.9999999999891,loss
285,3,75.0,Hold,341.9999999999782,win
286,3,25.0,Exit,-411.375,loss
287,3,75.0,Hold,336.75,win
288,3,45.0,ScaleOut,-386.6250000000055,loss
289,3,75.0,Hold,287.2500000000109,win
290,3,53.0,Trail,-235.125,loss
291,3,50.0,Trail,125.99999999998364,win
292,3,50.0,Trail,-54.00000000001637,loss
293,3,70.0,Hold,-55.125,loss
294,3,50.0,Trail,-134.99999999998363,loss
295,3,70.0,Hold,25.874999999967255,win
296,3,25.0,Exit,-302.625,loss
297,3,73.0,Hold,193.49999999998363,win
298,3,45.0,ScaleOut,-376.8749999999836,loss
299,3,58.0,Trail,267.74999999996726,win
300,3,25.0,Exit,-372.0,loss
301,3,80.0,Hold,258.0,win
302,3,25.0,Exit,-347.625,loss
303,3,73.0,Hold,209.25,win
304,3,45.0,ScaleOut,-336.375,loss
305,3,73.0,Hold,186.75,win
306,3,45.0,ScaleOut,-295.49999999999454,loss
307,3,65.0,Trail,104.99999999998909,win
308,3,28.0,Exit,67.49999999998909,win
