dimension,bucket,loss_count,total_loss_abs,avg_loss,loss_share,all_trade_count,bucket_net_pnl,bucket_profit_factor,bucket_win_rate,bucket_expectancy
day_of_week,Friday,8492,2106232.1249999995,-248.02545042392836,0.20378085755147274,13740,-650729.9999999991,0.691045449228442,0.3819505094614265,-47.36026200873356
day_of_week,Tuesday,7611,2017516.8750000014,-265.0790796216005,0.1951975349877772,12960,-479433.74999999505,0.762364441189621,0.4127314814814815,-36.99334490740703
day_of_week,Wednesday,7990,2003815.1249999988,-250.79037859824766,0.19387187181332705,13200,-626212.1250000002,0.687490069723872,0.3946969696969697,-47.44031250000002
day_of_week,Thursday,7469,1989117.0000000002,-266.3163743473022,0.19244980798600864,12602,-447077.24999999977,0.7752383343966194,0.4073162990001587,-35.47669020790349
time_of_day,closing_45m,7382,1937166.7500000042,-262.417603630453,0.1874235497833366,12120,-480574.1249999973,0.7519190720158725,0.3909240924092409,-39.65133044554433
market_regime,trend,6112,1532821.4999999977,-250.7888579842928,0.14830259022059802,10018,-445339.8749999963,0.709463968896576,0.3898981832701138,-44.45397035336357
volatility_bucket,low_volatility,7211,1440937.124999999,-199.82486825682972,0.139412650450507,10388,-877936.8749999972,0.3907181238043277,0.3058336542164035,-84.51452396996507
confidence_bucket,medium_confidence,3760,1142066.624999996,-303.7411236702117,0.11049651814774,8006,352129.87500000536,1.3083269113130827,0.5303522358231326,43.98324693979582
time_of_day,open_30m,3552,1069739.6250000028,-301.165434966217,0.10349878133175444,6464,-82444.1250000023,0.9229306617486455,0.4504950495049505,-12.754351021039959
target_missed,False,2353,225533.99999999913,-95.8495537611556,0.021820724972093797,26853,7291062.000000006,33.327994892122845,0.9123747812162515,271.51759579935225
holding_time_bucket,quick_resolution,916,119599.87499999866,-130.5675491266361,0.011571452548492811,9184,3378345.375000003,29.24706443046066,0.9002613240418118,367.8511950130665
holding_time_bucket,normal_hold,1437,105934.12500000048,-73.71894572025086,0.01024927242360099,17669,3912716.6250000023,37.935374932298586,0.9186711189088234,221.44527845378926
day_of_week,Sunday,185,62204.250000000015,-336.2391891891893,0.006018346818419268,330,6280.499999999849,1.10096577002375,0.4393939393939394,19.031818181817723
primary_failure,low_confidence,1326,60008.62500000046,-45.255373303167765,0.005805917077152568,1326,-60008.62500000046,0.0,0.0,-45.255373303167765
primary_failure,high_volatility,179,9469.8749999991,-52.904329608933516,0.0009162234425633736,179,-9469.8749999991,0.0,0.0,-52.904329608933516
primary_failure,low_trend_strength,27,1137.37499999976,-42.124999999991104,0.0001100425969704348,27,-1137.37499999976,0.0,0.0,-42.124999999991104
primary_failure,adverse_outcome,28,1045.1249999999945,-37.32589285714266,0.00010111728247829374,28,-1045.1249999999945,0.0,0.0,-37.32589285714266
primary_failure,after_2pm,16,518.6250000000764,-32.414062500004775,5.017768269375729e-05,16,-518.6250000000764,0.0,0.0,-32.414062500004775
