comparison,feature,psi,train_mean,comparison_mean,mean_delta,train_std,comparison_std
train_vs_calibration,return_3,0.0053312147520643855,4.978079919089263e-06,1.5189315866545383e-06,-3.459148332434725e-06,0.0007743979226044886,0.0007378215284047611
train_vs_calibration,candle_body_pct,0.014498775886652637,0.5195978693835334,0.49010054511934553,-0.02949732426418783,0.27904143508826473,0.27234834749849196
train_vs_calibration,range_break_strength,0.0013324537519914341,-1.6860251428792603,-1.674667757268132,0.011357385611128201,1.2935123006487133,1.2651058543810956
train_vs_calibration,mins_since_open,9.855671049243857e-07,187.02080923874777,187.08689627870152,0.06608703995374299,108.31277523531212,108.31564218713892
train_vs_calibration,mins_to_close,1.051025391696904e-06,187.97919076125223,187.91310372129848,-0.06608703995374299,108.31277523531212,108.31564218713892
train_vs_calibration,session_open,3.3954479895088577e-07,0.0801264559256421,0.07996832937450514,-0.00015812655113696394,0.2714888708334805,0.27124416246539906
train_vs_calibration,session_close,2.0588735240706466e-08,0.1576146430985095,0.15766693058854578,5.228749003627353e-05,0.36437929054686824,0.3644284149011058
train_vs_calibration,time_to_expiry_min,1.051025391696904e-06,187.97919076125223,187.91310372129848,-0.06608703995374299,108.31277523531212,108.31564218713892
train_vs_calibration,moneyness,0.007699631405787664,1.387847287556227e-05,3.917932861242848e-06,-9.960540014319422e-06,0.0009528039181398164,0.0008828542982469718
train_vs_calibration,momentum_velocity,0.004283095902112797,7.363063724156123e-10,-5.6375781090295814e-09,-6.373884481445193e-09,0.0006183604271762887,0.0005883311037149488
train_vs_calibration,range_compression,0.001016204329394532,0.5756998485432746,0.5793283703864613,0.0036285218431867383,0.1985702623581385,0.20089341205415653
train_vs_calibration,wick_ratio,0.014605291594524323,2.099475448923706,2.2972245626801424,0.19774911375643622,2.8487343606400004,2.9372309189392705
train_vs_calibration,body_efficiency,0.014498775886652637,0.5195978693835334,0.49010054511934553,-0.02949732426418783,0.27904143508826473,0.27234834749849196
train_vs_calibration,mom3_strength,0.005368653518307428,0.00044101538459990054,0.0004099641151402171,-3.1051269459683446e-05,0.0006365707771803778,0.0006134430203596755
train_vs_calibration,upper_wick,0.01059884225652541,0.21077877325427707,0.22115476517269458,0.01037599191841751,0.20548842973426606,0.21017233648287736
train_vs_calibration,lower_wick,0.03204553989467917,0.2113477457497427,0.23300491115000596,0.021657165400263273,0.21400052739155703,0.2143982176463772
train_vs_calibration,close_position,0.01623678684188885,0.5015396492933005,0.506740842697797,0.005201193404496429,0.33257732219204383,0.318217915191023
train_vs_holdout,supertrend_dir,0.006525573469955755,0.08018018272768146,-0.0005146408730420554,-0.08069482360072351,0.9967803861923425,0.9999998675723771
train_vs_holdout,supertrend_dist,0.01644537600304124,5.9650158683589285e-05,-7.1342885957757745e-06,-6.678444727936506e-05,0.0011905764118714825,0.0011196670148335597
train_vs_holdout,price_vs_vwap,0.012073496207107234,-5.485979160019916e-05,-4.0033657723523446e-08,5.481975794247563e-05,0.002667604704930044,0.0023236264933003273
train_vs_holdout,adx,0.0006780113736912699,25.108583089680117,25.18363458210427,0.07505149242415143,10.553882370079142,10.480531618440422
train_vs_holdout,di_spread,0.00510084025717929,0.23917294482987858,-0.44320795224885073,-0.6823808970787293,15.836853888025942,15.286010944056683
train_vs_holdout,ema_alignment,0.00669755752788519,0.08562638381861831,0.0038927963473693932,-0.08173358747124893,0.996327316896484,0.9999924230395939
train_vs_holdout,volume_ratio,0.0,1.0,1.0,0.0,0.0,0.0
train_vs_holdout,ema20,10.985967539273926,18680.51877558241,24898.619586078727,6218.100810496315,2907.0999748696954,1008.8888883979361
train_vs_holdout,ema50,10.98609473605406,18680.078969537608,24898.850994323548,6218.77202478594,2906.936005440749,1008.3387414219422
train_vs_holdout,macd,0.053763362136640694,0.439806044802754,-0.23140824482337605,-0.6712142896261301,14.603121634407293,20.08296099363575
train_vs_holdout,returns,0.0070222660235948284,1.6573447070867858e-06,-4.948721105164009e-07,-2.152216817603187e-06,0.0004419417138788656,0.00045729242449373155
train_vs_holdout,volatility,0.024632693411217176,0.00033147219637056583,0.00030967761104301665,-2.179458532754918e-05,0.00029176224854909677,0.00033613876933115866
train_vs_holdout,rsi,0.004838132057046667,50.823121049073364,50.139604116455175,-0.6835169326181898,12.384938910366095,12.61926366455176
train_vs_holdout,atr,0.585691858585551,7.725524204362884,9.761928630968393,2.0364044266055092,3.9469142865962206,4.550642901578442
