entry_ts,exit_ts,side,ml_prob,conf_bucket,orb_state,regime,hour_bucket,hold_secs,exit_reason,entry_prem,exit_prem,entry_spot,gross_rs,cost_rs,net_rs,label_correct
2024-01-18 10:09:00,2024-01-18 10:11:00,CE,0.8191,0.80+,POST_ORB,TREND,10:00-11:00,120.0,Stop Loss,105.41,90.76,21424.35,-952.25,66.0,-1018.25,1
2024-01-18 10:19:00,2024-01-18 10:33:00,CE,0.7645,0.70-0.80,POST_ORB,TREND,10:00-11:00,840.0,Stop Loss,103.76,120.11,21371.5,1062.75,66.0,996.75,1
2024-01-18 14:11:00,2024-01-18 14:17:00,CE,0.522,0.50-0.60,POST_ORB,RANGE,14:00-15:00,360.0,Stop Loss,52.54,52.23,21440.7,-20.15,66.0,-86.15,1
2024-01-18 14:56:00,2024-01-18 14:58:00,CE,0.6714,0.60-0.70,POST_ORB,RANGE,14:00-15:00,120.0,Stop Loss,34.64,28.15,21460.6,-421.85,66.0,-487.85,1
2024-01-18 15:05:00,2024-01-18 15:09:00,CE,0.5151,0.50-0.60,POST_ORB,RANGE,15:00+,240.0,Stop Loss,29.78,29.43,21452.05,-22.75,66.0,-88.75,1
2024-01-19 09:32:00,2024-01-19 09:34:00,CE,0.6789,0.60-0.70,POST_ORB,TREND,09:15-10:00,120.0,Stop Loss,111.29,104.88,21633.0,-416.65,66.0,-482.65,1
2024-01-19 09:45:00,2024-01-19 09:49:00,CE,0.7255,0.70-0.80,POST_ORB,TREND,09:15-10:00,240.0,Stop Loss,109.26,109.05,21628.4,-13.65,66.0,-79.65,1
2024-01-19 14:57:00,2024-01-19 14:59:00,CE,0.6754,0.60-0.70,POST_ORB,RANGE,14:00-15:00,120.0,Stop Loss,34.14,34.15,21608.45,0.65,66.0,-65.35,1
2024-01-19 15:07:00,2024-01-19 15:10:00,CE,0.5474,0.50-0.60,POST_ORB,RANGE,15:00+,180.0,Stop Loss,28.58,22.71,21616.65,-381.55,66.0,-447.55,1
2024-01-20 09:35:00,2024-01-20 09:38:00,CE,0.7743,0.70-0.80,POST_ORB,RANGE,09:15-10:00,180.0,Stop Loss,110.82,113.03,21657.65,143.65,66.0,77.65,1
2024-01-20 10:05:00,2024-01-20 10:08:00,CE,0.6464,0.60-0.70,POST_ORB,RANGE,10:00-11:00,180.0,Stop Loss,106.06,99.87,21636.35,-402.35,66.0,-468.35,0
2024-01-20 10:55:00,2024-01-20 11:01:00,CE,0.5235,0.50-0.60,POST_ORB,RANGE,10:00-11:00,360.0,Stop Loss,97.6,96.24,21662.7,-88.4,66.0,-154.4,0
2024-01-20 14:00:00,2024-01-20 14:02:00,CE,0.5061,0.50-0.60,POST_ORB,TREND,14:00-15:00,120.0,Stop Loss,56.05,51.1,21629.2,-321.75,66.0,-387.75,0
2024-01-20 15:02:00,2024-01-20 15:03:00,PE,0.696,0.60-0.70,POST_ORB,TREND,15:00+,60.0,Stop Loss,31.48,26.55,21559.1,-320.45,66.0,-386.45,1
2024-01-20 15:08:00,2024-01-20 15:09:00,PE,0.7402,0.70-0.80,POST_ORB,TREND,15:00+,60.0,Stop Loss,27.96,18.98,21543.6,-583.7,66.0,-649.7,0
2024-01-23 14:03:00,2024-01-23 14:04:00,PE,0.8058,0.80+,POST_ORB,TREND,14:00-15:00,60.0,Stop Loss,55.12,49.15,21318.55,-388.05,66.0,-454.05,0
2024-01-23 14:09:00,2024-01-23 14:11:00,PE,0.8142,0.80+,POST_ORB,RANGE,14:00-15:00,120.0,Stop Loss,53.2,50.09,21317.15,-202.15,66.0,-268.15,1
2024-01-23 14:17:00,2024-01-23 14:26:00,PE,0.7686,0.70-0.80,POST_ORB,TREND,14:00-15:00,540.0,TARGET_HIT,50.53,76.77,21301.15,1705.6,66.0,1639.6,1
2024-01-23 14:38:00,2024-01-23 14:40:00,PE,0.6775,0.60-0.70,POST_ORB,TREND,14:00-15:00,120.0,Stop Loss,42.72,40.65,21232.3,-134.55,66.0,-200.55,0
2024-01-23 14:45:00,2024-01-23 14:48:00,PE,0.8139,0.80+,POST_ORB,TREND,14:00-15:00,180.0,Stop Loss,39.78,27.0,21232.7,-830.7,66.0,-896.7,0
2024-01-23 14:53:00,2024-01-23 15:06:00,PE,0.8035,0.80+,POST_ORB,TREND,14:00-15:00,780.0,Stop Loss,36.12,49.41,21248.2,863.85,66.0,797.85,1
2024-01-24 09:30:00,2024-01-24 09:33:00,CE,0.7002,0.70-0.80,ORB,RANGE,09:15-10:00,180.0,Stop Loss,111.6,113.31,21245.15,111.15,66.0,45.15,1
2024-01-24 10:14:00,2024-01-24 10:27:00,CE,0.7329,0.70-0.80,POST_ORB,RANGE,10:00-11:00,780.0,TARGET_HIT,104.59,134.22,21329.1,1925.95,66.0,1859.95,1
2024-01-24 10:40:00,2024-01-24 10:43:00,CE,0.618,0.60-0.70,POST_ORB,TREND,10:00-11:00,180.0,Stop Loss,100.21,100.35,21378.85,9.1,66.0,-56.9,0
2024-01-24 10:48:00,2024-01-24 10:52:00,CE,0.666,0.60-0.70,POST_ORB,RANGE,10:00-11:00,240.0,Stop Loss,98.83,98.73,21357.05,-6.5,66.0,-72.5,1
