fold,target,model,status,train_rows,calibration_rows,test_rows,train_date_min,train_date_max,calibration_date_min,calibration_date_max,test_date_min,test_date_max,auc,average_precision,pr_auc,brier,ece,target_rate,prob_mean,prob_std,prob_p05,prob_p50,prob_p95,threshold,precision,recall,trade_count,selected_positives,expectancy,profit_factor,max_drawdown,net_pnl,train_max_index,inner_train_max_index,inner_cal_min_index,inner_cal_max_index,test_min_index,nominal_train_end_index,required_purge_bars,required_embargo_bars,actual_gap_bars,passed
2,quality_profitable_ce,lgbm,ok,100684,25171,75867,2021-01-01T09:29:00,2022-02-03T10:39:00,2022-02-03T10:40:00,2022-05-16T11:28:00,2022-05-16T11:53:00,2023-03-06T12:49:00,0.5879770386223176,0.40587893782607776,0.40587893782607776,0.2198709073373661,0.04658873580018851,0.3333069714104947,0.3798957072106833,0.0594412914793734,0.3383177570093458,0.3659066232356134,0.5165675446049279,0.5402081362346263,0.5496588324488249,0.057341717087831694,2638,1450,247.30126990143987,1.9807302025408893,-90534.37500000057,652380.7499999984,125854,100683,100684,125854,125879,125867,12,12,24,True
2,quality_profitable_pe,lgbm,ok,100684,25171,75867,2021-01-01T09:29:00,2022-02-03T10:39:00,2022-02-03T10:40:00,2022-05-16T11:28:00,2022-05-16T11:53:00,2023-03-06T12:49:00,0.5835861109451128,0.3931073140487289,0.3931073140487289,0.22046740832545111,0.05008185817889541,0.3326347423781091,0.3809574202755765,0.07093953413424883,0.30484330484330485,0.3709738537324744,0.4662737393582188,0.5218579234972679,0.45969125214408235,0.03185924869234427,1749,804,43.9969982847329,1.3086853771505749,-25951.125000001135,76950.74999999785,125854,100683,100684,125854,125879,125867,12,12,24,True
2,target_hit_ce,lgbm,ok,100684,25171,75867,2021-01-01T09:29:00,2022-02-03T10:39:00,2022-02-03T10:40:00,2022-05-16T11:28:00,2022-05-16T11:53:00,2023-03-06T12:49:00,0.6406568707348381,0.41159667749777296,0.41159667749777296,0.20048210854169377,0.06508627751748841,0.2922878194735524,0.35555181041409895,0.11197903553109263,0.21052631578947367,0.3489388264669164,0.5882352941176471,0.6578947368421053,0.6255186721991701,0.027192784667418264,964,603,321.8880964730295,2.2639413324535047,-41750.25000000005,310300.12500000047,125854,100683,100684,125854,125879,125867,12,12,24,True
2,target_hit_pe,lgbm,ok,100684,25171,75867,2021-01-01T09:29:00,2022-02-03T10:39:00,2022-02-03T10:40:00,2022-05-16T11:28:00,2022-05-16T11:53:00,2023-03-06T12:49:00,0.647016449791778,0.4119326508436999,0.4119326508436999,0.20088653253090968,0.05666672830399773,0.29756020404128275,0.3521828358468355,0.11681130038133046,0.2028985507246377,0.3100890207715134,0.5443037974683544,0.5712143928035983,0.5155367231638418,0.032336655592469545,1416,730,88.93644067796541,1.5331724510208573,-31252.125000000393,125933.99999999901,125854,100683,100684,125854,125879,125867,12,12,24,True
2,stop_hit_ce,lgbm,ok,100684,25171,75867,2021-01-01T09:29:00,2022-02-03T10:39:00,2022-02-03T10:40:00,2022-05-16T11:28:00,2022-05-16T11:53:00,2023-03-06T12:49:00,0.7434077971191011,0.23367546252579988,0.23367546252579988,0.0840169584263792,0.02949117146729923,0.0992921823717822,0.12863857503497217,0.10401867062702783,0.0,0.09764453961456103,0.3152289669861555,0.22345483359746435,0.24782748632121018,0.4088676490110182,12428,3080,0.24301979401368706,1.0012410199785118,-242116.12500000146,3020.2500000021028,125854,100683,100684,125854,125879,125867,12,12,24,True
2,stop_hit_pe,lgbm,ok,100684,25171,75867,2021-01-01T09:29:00,2022-02-03T10:39:00,2022-02-03T10:40:00,2022-05-16T11:28:00,2022-05-16T11:53:00,2023-03-06T12:49:00,0.7864336385767107,0.29374607845048073,0.29374607845048073,0.07088698770704233,0.026033873647751758,0.08823335574096774,0.11393618197200767,0.10582193798230276,0.03632589517384536,0.08665105386416862,0.2915286322763843,0.3425925925925926,0.47609756097560973,0.21870331640274873,3075,1464,-1.5084146341460174,0.9960815508809153,-207299.99999999907,-4638.374999999003,125854,100683,100684,125854,125879,125867,12,12,24,True
3,directional_ce,lgbm,ok,161378,40344,75867,2021-01-01T09:29:00,2022-09-29T09:46:00,2022-09-29T09:47:00,2023-03-06T12:25:00,2023-03-06T12:50:00,2024-01-02T13:59:00,0.6607357679300045,0.3512823933148763,0.3512823933148763,0.15372698298097343,0.018756172755568474,0.20694109428341703,0.20888524922390023,0.11597528752972218,0.09379042690815007,0.16222570532915362,0.4473684210526316,0.5102040816326533,0.5787056367432151,0.08828025477707006,2395,1386,218.1707724425876,2.0955585887621693,-46698.000000000524,522518.9999999973,201721,161377,161378,201721,201746,201734,12,12,24,True
3,directional_pe,lgbm,ok,161378,40344,75867,2021-01-01T09:29:00,2022-09-29T09:46:00,2022-09-29T09:47:00,2023-03-06T12:25:00,2023-03-06T12:50:00,2024-01-02T13:59:00,0.6367264635304273,0.2997906122830673,0.2997906122830673,0.15947879019178282,0.0467995261384047,0.20595252217696758,0.2527520483153723,0.09837273337214082,0.12302284710017575,0.2294837361981498,0.4650905060953084,0.4650905060953084,0.3791050508930286,0.126336,5207,1974,-33.98593239869388,0.7642387917429186,-211013.99999999837,-176964.74999999904,201721,161377,161378,201721,201746,201734,12,12,24,True
3,quality_profitable_ce,lgbm,ok,161378,40344,75867,2021-01-01T09:29:00,2022-09-29T09:46:00,2022-09-29T09:47:00,2023-03-06T12:25:00,2023-03-06T12:50:00,2024-01-02T13:59:00,0.6064788401200442,0.36937855590483126,0.36937855590483126,0.1928800824174868,0.013217343815957626,0.2745067025188817,0.2736206962957954,0.09127513756936116,0.15393322014714206,0.2656505171475231,0.4625684723067559,0.49635593220338725,0.6461377870563675,0.02972246230673197,958,619,304.2279488517744,2.503391912411866,-40623.74999999984,291450.3749999999,201721,161377,161378,201721,201746,201734,12,12,24,True
3,quality_profitable_pe,lgbm,ok,161378,40344,75867,2021-01-01T09:29:00,2022-09-29T09:46:00,2022-09-29T09:47:00,2023-03-06T12:25:00,2023-03-06T12:50:00,2024-01-02T13:59:00,0.5786413562865853,0.3089615484367654,0.3089615484367654,0.1943767110506169,0.053914633385500524,0.26257793243439176,0.31567993060006316,0.07911528605273271,0.20402298850574713,0.29650245848408946,0.47496206373292865,0.47496206373292865,0.34439480961497554,0.08127102053109783,4701,1619,-59.0424377791946,0.6040627438981072,-286838.6249999946,-277558.49999999383,201721,161377,161378,201721,201746,201734,12,12,24,True
