entry_filter,confidence_threshold,risk_multiplier,reward_points,stop_points,trailing_stop,partial_exit_fraction,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,avg_winner,avg_loser,meets_min_trades
none,0.0,1.25,15.0,30.0,True,0.0,66692,9313586.250000007,3.432697399184948,0.49113836742038025,139.65072647394,-23894.24999999907,401.22387421767684,-112.81202669652578,True
none,0.0,1.25,18.75,22.5,True,0.5,66692,9299384.88750001,3.394665905473056,0.47283032447669887,139.43778695345785,-28684.79999999894,418.0490754027401,-110.45493646538468,True
none,0.0,1.25,18.75,15.0,True,0.5,66692,9129801.075000009,3.3509967188734398,0.47283032447669887,136.89499602651006,-28684.79999999894,412.671266926175,-110.45493646538468,True
none,0.0,1.25,15.0,22.5,True,0.0,66692,9109933.875000011,3.379503646563573,0.49113836742038025,136.59710122653408,-23894.24999999907,395.00643031598247,-112.81202669652578,True
none,0.0,1.25,15.0,15.0,True,0.0,66692,8732269.875000011,3.28085826916496,0.49113836742038025,130.9342930936246,-23894.24999999907,383.4764654251261,-112.81202669652578,True
none,0.0,1.25,15.0,30.0,True,0.5,66692,8483229.562500007,3.1844993886559196,0.47283032447669887,127.20010739668938,-25625.231249998906,392.1673184102873,-110.45493646538468,True
none,0.0,1.25,15.0,22.5,True,0.5,66692,8381403.375000007,3.1582783318397523,0.47283032447669887,125.67329477298638,-25625.231249998906,388.93822639849066,-110.45493646538468,True
none,0.0,1.25,11.25,30.0,True,0.0,66692,8255985.000000007,3.15648365581064,0.4932375697235051,123.79273376117087,-23411.999999999185,367.36381668946655,-113.27773914844497,True
none,0.0,1.25,15.0,15.0,True,0.5,66692,8192571.375000009,3.109652583176514,0.47283032447669887,122.84189070653166,-25625.231249998906,382.9500231892561,-110.45493646538468,True
none,0.0,1.25,11.25,22.5,True,0.0,66692,8044618.500000009,3.1012709112654213,0.49296767228453187,120.62344059257497,-23411.999999999185,361.1361209964414,-113.21761792104081,True
none,0.0,1.25,11.25,15.0,True,0.0,66692,7648297.218750009,2.9977580213639277,0.49350746716247823,114.68087954702227,-23411.999999999185,348.6992212423664,-113.33788004381404,True
